Reservoir Summary

Reservoir,Reservoir Level Information & Capacity Details,,,,,Instant Inflow & Outflow,,,Basin,District,Alert
,Date and Time,Gross Capacity at FRL (T.M.C.),Current Level (feet),Current Storage (T.M.C.),Flood Cushion (T.M.C.),Date and Time,Inflow (Cusecs),Outflow (Cusecs),,,
ANDRA RESERVOIR,11/19/21,0.98,467.59,0.48,0.5,11/19/21,30,240,Other,Vizianagaram,-
VATTIGEDDA RESERVOIR,11/19/21,0.96,395.34,0.8,0.16,11/19/21,74,25,Other,Parvathipuram Manyam,-
KALYANI DAM,-,0.91,893.77,0.75,0.16,-,-,-,Other,Tirupati,-
YOGI VEMANA (MADDILERU) RESERVOIR,11/19/21,0.9,1246.88,0.56,0.34,11/19/21,25000,28820,Pennar,Sri Sathya Sai,-
KONAM RESERVOIR,11/19/21,0.85,328.81,0.74,0.11,11/19/21,65,65,Other,Anakapalli,-
GOTTA BARRAGE,11/19/21,0.66,123.1,0.46,0.2,11/19/21,4419,4766,Other,Srikakulam,-
PEDDERU RESERVOIR PROJECT,11/19/21,0.56,1554.92,0.22,0.34,11/19/21,307,369,Pennar,Annamayya,-
PAMPA RESERVOIR,-,0.42,99.93,0.32,0.1,-,-,-,Other,Kakinada,-
VARAHA RESERVOIR,11/19/21,0.47,455.94,0.39,0.08,11/19/21,25,45,Other,Anakapalli,-
BAHUDA RESERVOIR,-,0.4,-,-,0.4,-,-,-,Pennar,Annamayya,-
PEDDERU RESERVOIR,11/18/21,0.36,448.03,0.33,0.03,11/18/21,265,140,Other,Anakapalli,-
NTR RESERVOIR,-,0.2,348.43,0.08,0.12,-,-,-,Other,Anakapalli,-
KRISHNAPURAM PROJECT,11/19/21,0.2,667.98,0.03,0.17,11/19/21,3757.92,4657.48,Other,Chittoor,-
MALLIMADUGU,11/19/21,0.18,366,0.18,0,11/19/21,44250,44250,Other,Tirupati,-
CHENNARAYA SWAMI GUDI PROJECT,-,0.17,1918.96,0.09,0.08,-,-,-,Pennar,Sri Sathya Sai,-
KALINGADAL PROJECT,-,0.15,250.98,0.06,0.09,-,-,-,Other,Srikakulam,-
NTR Jalasayam,-,0.11,963.76,0.09,0.02,-,-,-,Other,Chittoor,-
DAMODARAM SAGARAM,-,0.06,166.86,0.06,0,-,-,-,Other,Srikakulam,-
GAJJILIGEDDA RESERVOIR,-,0.05,-,-,0.05,-,-,-,Other,Srikakulam,-
NARAYANAPURAM ANICUT,11/19/21,0,94.65,0,0,11/19/21,2400,2400,Other,Srikakulam,-
