Reservoir Summary

Reservoir,Reservoir Level Information & Capacity Details,,,,,Instant Inflow & Outflow,,,Basin,District,Alert
,Date and Time,Gross Capacity at FRL (T.M.C.),Current Level (feet),Current Storage (T.M.C.),Flood Cushion (T.M.C.),Date and Time,Inflow (Cusecs),Outflow (Cusecs),,,
SRISAILAM R,11/17/21,215.81,856.46,95.75,120.06,11/17/21,15842,23782,Krishna,Nandyal,-
NAGARJUNA SAGAR,11/17/21,312.05,588.1,306.4,5.65,11/17/21,33801,33801,Krishna,Palnadu,-
PULICHINTHALA PROJECT,11/17/21,45.77,169.19,37.23,8.54,11/17/21,3400,3400,Krishna,Palnadu,-
GORAKKALU BALANCING RESERVIOR,11/17/21,11,845.69,10.79,0.21,11/17/21,167,55,Pennar,Nandyal,-
GAJULADINNE PROJECT,11/17/21,4.5,1235.3,3.66,0.84,11/17/21,1388,10,Krishna,Kurnool,-
BUGGAVAGU,-,3.46,-,-,3.46,-,-,-,Krishna,Palnadu,-
PRAKASAM BARRAGE,11/17/21,3.07,57.05,3.07,0,11/17/21,16282,16088,Krishna,NTR,-
GONELAVAGU RESERVOIR,-,1.77,324.93,0.19,1.58,-,-,-,Other,Eluru,-
SUNKESULA BARRAGE,11/17/21,1.2,957.35,1.15,0.05,11/17/21,11269,11269,Krishna,Kurnool,-
VARADARAJASWAMY GUDI PROJECT,-,0.38,1177.23,0.07,0.31,-,-,-,Krishna,Nandyal,-
ZURRERU RESERVOIR,11/17/21,0.26,858.3,0.16,0.1,11/17/21,0,0,Pennar,Nandyal,-
GODDUMARRI ANICUT,-,0.07,-,-,0.07,-,-,-,Pennar,Ananthapuramu,-
MUNIYERU PROJECT,-,0.13,222.05,0.13,0,-,-,-,Krishna,NTR,-
YERRAKALVA RESERVOIR,11/17/21,4.43,265.91,3.56,0.87,11/17/21,0,0,Other,Eluru,-
SIR AURTHUR COTTON BARRAGE,11/17/21,2.93,44.75,2.93,0,11/17/21,29385,29231,GODAVARI,Konaseema,-
MUSURIMALLI,11/17/21,1.6,378.15,0.59,1.01,11/17/21,240,240,GODAVARI,Polavaram,-
TAMMILERU RESERVOIR,11/17/21,1.23,347.21,0.63,0.6,11/17/21,340,20,Other,Eluru,-
BHUPATIPALEM RESERVOIR,11/17/21,0.65,669.29,0.65,0,11/17/21,200,200,GODAVARI,Polavaram,-
MADDIGEDDA PROJECT,11/17/21,0.48,615.81,0.45,0.03,11/17/21,18,18,Other,Polavaram,-
KOVVADAKALVA RESERVOIR,-,0.44,290.26,0.3,0.14,-,-,-,GODAVARI,East Godavari,-
JALLERU RESERVOIR,11/17/21,0.54,707.45,0.4,0.14,11/17/21,5,25,Other,Eluru,-
SUREMPALEM RESERVOIR,11/17/21,0.28,343.31,0.25,0.03,11/17/21,600,500,GODAVARI,Polavaram,-
SUBBAREDDY SAGAR,11/18/21,0.23,277.55,0.03,0.2,11/18/21,0,50.46,Other,Kakinada,-
