Reservoir Summary

Reservoir,Reservoir Level Information & Capacity Details,,,,,Instant Inflow & Outflow,,,Basin,District,Alert
,Date and Time,Gross Capacity at FRL (T.M.C.),Current Level (feet),Current Storage (T.M.C.),Flood Cushion (T.M.C.),Date and Time,Inflow (Cusecs),Outflow (Cusecs),,,
SRISAILAM R,11/18/21,215.81,855.58,93.34,122.47,11/18/21,8824,35442,Krishna,Nandyal,-
NAGARJUNA SAGAR,11/18/21,312.05,588.4,307.28,4.77,11/18/21,46529,19159,Krishna,Palnadu,-
PULICHINTHALA PROJECT,11/18/21,45.77,168.93,36.87,8.9,11/18/21,300,3000,Krishna,Palnadu,-
GORAKKALU BALANCING RESERVIOR,11/17/21,11,845.84,10.82,0.18,11/17/21,167,55,Pennar,Nandyal,-
GAJULADINNE PROJECT,11/18/21,4.5,1235.3,3.66,0.84,11/18/21,1388,10,Krishna,Kurnool,-
BUGGAVAGU,-,3.46,-,-,3.46,-,-,-,Krishna,Palnadu,-
PRAKASAM BARRAGE,11/18/21,3.07,57.05,3.07,0,11/18/21,11324,15594,Krishna,NTR,-
GONELAVAGU RESERVOIR,-,1.77,324.93,0.19,1.58,-,-,-,Other,Eluru,-
SUNKESULA BARRAGE,11/17/21,1.2,957.02,1.11,0.09,11/17/21,11269,11269,Krishna,Kurnool,-
VARADARAJASWAMY GUDI PROJECT,-,0.38,1177.07,0.07,0.31,-,-,-,Krishna,Nandyal,-
ZURRERU RESERVOIR,11/18/21,0.26,858.3,0.16,0.1,11/18/21,0,0,Pennar,Nandyal,-
GODDUMARRI ANICUT,-,0.07,-,-,0.07,-,-,-,Pennar,Ananthapuramu,-
MUNIYERU PROJECT,-,0.13,222.01,0.13,0,-,-,-,Krishna,NTR,-
YERRAKALVA RESERVOIR,11/18/21,4.43,265.91,3.57,0.86,11/18/21,0,0,Other,Eluru,-
SIR AURTHUR COTTON BARRAGE,11/18/21,2.93,44.75,2.93,0,11/18/21,22504,22889,GODAVARI,Konaseema,-
MUSURIMALLI,11/18/21,1.6,378.15,0.59,1.01,11/18/21,240,200,GODAVARI,Polavaram,-
TAMMILERU RESERVOIR,11/18/21,1.23,347.21,0.63,0.6,11/18/21,285,20,Other,Eluru,-
BHUPATIPALEM RESERVOIR,11/18/21,0.65,669.13,0.64,0.01,11/18/21,200,200,GODAVARI,Polavaram,-
MADDIGEDDA PROJECT,11/18/21,0.48,615.81,0.45,0.03,11/18/21,18,18,Other,Polavaram,-
KOVVADAKALVA RESERVOIR,-,0.44,290.26,0.3,0.14,-,-,-,GODAVARI,East Godavari,-
JALLERU RESERVOIR,11/18/21,0.54,707.35,0.4,0.14,11/18/21,5,40,Other,Eluru,-
SUREMPALEM RESERVOIR,11/17/21,0.28,343.24,0.25,0.03,11/17/21,600,500,GODAVARI,Polavaram,-
SUBBAREDDY SAGAR,-,0.23,-,-,0.23,-,-,-,Other,Kakinada,-
VIJAYARAI ANICUT,-,0,-,-,0,-,-,-,Other,Eluru,-
YELERU RESERVOIR,11/18/21,24.11,280.51,21.95,2.16,11/18/21,650,650,Other,Kakinada,-
BRAHMAMSAGAR RESERVOIR,11/18/21,17.74,633.46,2.63,15.11,11/18/21,504,19,Pennar,Y.S.R Kadapa,-
TANDAVA RESERVOIR,-,4.96,377.79,4.01,0.95,-,-,-,Other,Alluri Sitharama Raju,-
OWK RESERVOIR,-,3,-,-,3,-,-,-,Pennar,Nandyal,-
GUNDLAKAMMA RESERVOIR,11/18/21,3.86,78.44,3.18,0.68,11/18/21,8532,8255,Other,Prakasam,-
RAIWADA RESERVOIR,-,3.6,373.1,3.48,0.12,-,-,-,Other,Anakapalli,-
