Soil moisture summary

DISTRICT,Available Soil Moisture(T.M.C) till 5 cms depth,Available Soil Moisture(%) till 5 cms depth,Available Soil Moisture(T.M.C) till 30 cms depth,Available Soil Moisture(%) till 30 cms depth,Available Soil Moisture(T.M.C) till 100 cms depth,Available Soil Moisture(%) till 100 cms depth,Available Soil Moisture(T.M.C) till 150 cms depth,Available Soil Moisture(%) till 150 cms depth
Srikakulam,0.74,93.63,6.11,98.89,21.15,99.62,31.89,99.73
Vizianagaram,0.59,89.9,5.17,97.65,18.06,99.03,27.28,99.28
Parvathipuram Manyam,0.55,80.58,4.45,95.19,15.23,97.31,22.91,97.55
Alluri Sitharama Raju,1.61,72.86,13.44,78.81,51.08,88.67,79.25,91.72
Visakhapatnam,0.16,94.89,1.29,97.6,4.43,97.85,6.67,97.86
Anakapalli,0.63,85.44,4.53,95.71,15.55,98.21,23.44,98.7
Kakinada,0.58,94.68,4.05,97.09,13.87,98.29,20.91,98.58
Konaseema,0.38,100,3.05,100,10.54,100,15.89,100
East Godavari,0.35,82.1,3.51,96.49,12.36,98.26,18.68,98.51
West Godavari,0.34,97.86,2.83,96.07,9.95,98.03,15.08,98.69
Eluru,0.86,74.44,7.34,84.64,26.69,91.05,40.86,92.86
Krishna,0.64,98.58,5.11,97.5,17.88,98.65,27.07,99.05
NTR,0.4,75.45,2.08,49.68,10.47,73.27,17.51,81.38
Guntur,0.32,82.02,2.7,82.73,10.22,90.57,15.82,92.99
Bapatla,0.63,100,5.41,98.3,18.68,97.55,28.12,97.34
Palnadu,1.3,92.84,7.62,76.53,27.46,82.8,42.26,85.21
Prakasam,2.61,98.94,18.45,93.09,57,87.61,82.87,85.78
Sri Potti Sriramulu Nellore,1.79,100,14.64,100,50.38,99.77,75.85,99.7
Kurnool,1.24,99.31,7.31,66.87,27.36,71.02,42.55,72.93
Nandyal,1.74,98.37,9.11,69.22,33.01,73.64,51.01,75.7
Ananthapuramu,1.71,99.99,11.51,94.98,38.25,93.96,57.16,93.72
Sri Sathya Sai,1.64,100,11.38,100,37.63,99.11,56.08,98.81
Y.S.R Kadapa,1.8,99.56,13.17,99.06,43.76,97.14,65.25,96.53
Annamayya,1.83,100,12.03,100,39.14,100,58.09,100
Chittoor,1.3,100,9.55,100,31.97,99.98,47.78,99.98
Tirupati,1.6,100,11.6,100,39.23,100,58.86,100
Total,27.34,93.82,197.47,90.41,681.37,92.3,1029.16,92.95
