Reservoir Summary

Reservoir,Reservoir Level Information & Capacity Details,,,,,Instant Inflow & Outflow,,,Basin,District,Alert
,Date and Time,Gross Capacity at FRL (T.M.C.),Current Level (feet),Current Storage (T.M.C.),Flood Cushion (T.M.C.),Date and Time,Inflow (Cusecs),Outflow (Cusecs),,,
SRISAILAM R,11/20/21,215.81,856.82,96.56,119.25,11/20/21,24500,7807,Krishna,Nandyal,-
NAGARJUNA SAGAR,11/20/21,312.05,588.4,307.28,4.77,11/20/21,5971,5971,Krishna,Palnadu,-
PULICHINTHALA PROJECT,11/20/21,45.77,168.86,36.78,8.99,11/20/21,3560,400,Krishna,Palnadu,-
GORAKKALU BALANCING RESERVIOR,11/20/21,11,845.54,10.77,0.23,11/20/21,100,886,Pennar,Nandyal,-
GAJULADINNE PROJECT,11/20/21,4.5,1236.38,3.09,1.41,11/20/21,5418.6,2963.72,Krishna,Kurnool,-
BUGGAVAGU,-,3.46,-,-,3.46,-,-,-,Krishna,Palnadu,-
PRAKASAM BARRAGE,11/20/21,3.07,57.05,3.07,0,11/20/21,8981,9001,Krishna,NTR,-
GONELAVAGU RESERVOIR,-,1.77,324.93,0.19,1.58,-,-,-,Other,Eluru,-
SUNKESULA BARRAGE,11/20/21,1.2,951.44,0.55,0.65,11/20/21,10979,10979,Krishna,Kurnool,-
VARADARAJASWAMY GUDI PROJECT,-,0.38,1177.07,0.07,0.31,-,-,-,Krishna,Nandyal,-
ZURRERU RESERVOIR,11/20/21,0.26,858.43,0.16,0.1,11/20/21,0,0,Pennar,Nandyal,-
GODDUMARRI ANICUT,-,0.07,-,-,0.07,-,-,-,Pennar,Ananthapuramu,-
MUNIYERU PROJECT,-,0.13,222.08,0.13,0,-,-,-,Krishna,NTR,-
YERRAKALVA RESERVOIR,11/20/21,4.43,265.91,3.61,0.82,11/20/21,0,0,Other,Eluru,-
SIR AURTHUR COTTON BARRAGE,11/20/21,2.93,44.75,2.93,0,11/20/21,27635,27944,GODAVARI,Konaseema,-
MUSURIMALLI,11/20/21,1.6,378.15,0.59,1.01,11/20/21,300,220,GODAVARI,Polavaram,-
TAMMILERU RESERVOIR,11/20/21,1.23,347.21,0.63,0.6,11/20/21,40,20,Other,Eluru,-
BHUPATIPALEM RESERVOIR,11/20/21,0.65,669,0.64,0.01,11/20/21,300,300,GODAVARI,Polavaram,-
MADDIGEDDA PROJECT,11/20/21,0.48,615.81,0.46,0.02,11/20/21,18,18,Other,Polavaram,-
KOVVADAKALVA RESERVOIR,-,0.44,290.45,0.3,0.14,-,-,-,GODAVARI,East Godavari,-
JALLERU RESERVOIR,11/20/21,0.54,707.22,0.4,0.14,11/20/21,5,0,Other,Eluru,-
SUREMPALEM RESERVOIR,11/20/21,0.28,343.6,0.26,0.02,11/20/21,2000,2000,GODAVARI,Polavaram,-
SUBBAREDDY SAGAR,11/20/21,0.23,277.55,0.03,0.2,11/20/21,0,50.46,Other,Kakinada,-
VIJAYARAI ANICUT,-,0,-,-,0,-,-,-,Other,Eluru,-
YELERU RESERVOIR,11/20/21,24.11,280.81,22.13,1.98,11/20/21,2273,650,Other,Kakinada,-
BRAHMAMSAGAR RESERVOIR,11/19/21,17.74,633.46,2.63,15.11,11/19/21,1569,19,Pennar,Y.S.R Kadapa,-
TANDAVA RESERVOIR,-,4.96,377.79,4.01,0.95,-,-,-,Other,Alluri Sitharama Raju,-
OWK RESERVOIR,-,3,-,-,3,-,-,-,Pennar,Nandyal,-
GUNDLAKAMMA RESERVOIR,11/20/21,3.86,77.95,2.97,0.89,11/20/21,10535,10535,Other,Prakasam,-
RAIWADA RESERVOIR,-,3.6,372.64,3.42,0.18,-,-,-,Other,Anakapalli,-
MADDUVALASA PROJECT,11/20/21,3.37,211.48,2.84,0.53,11/20/21,2337,2207,Other,Vizianagaram,-
THATIPUDI RESERVOIR,11/20/21,3.33,282.41,1.79,1.54,11/20/21,364,220.48,Other,Vizianagaram,-
CUM BUM TANK,11/20/21,2.95,654,0.67,2.28,11/20/21,73,0,Other,Markapuram,-
THOTAPALLI REGULATOR / BARRAGE,11/4/21,2.53,342.81,2.19,0.34,11/4/21,1377,2338,Other,Parvathipuram Manyam,-
SUBSIDIARY RESERVOIR -II,11/20/21,2.45,716.76,1.61,0.84,11/20/21,296,453,Pennar,Y.S.R Kadapa,-
SUBSIDIARY RESERVOIR -I,11/20/21,2.13,716.2,1.33,0.8,11/20/21,304,306,Pennar,Y.S.R Kadapa,-
MOPADU RESERVOIR PROJECT,11/19/21,2.09,317.68,0.88,1.21,11/19/21,0,0,Other,Markapuram,-
BHAIRAVANITHIPPA PROJECT,-,2,-,-,2,-,-,-,Krishna,Ananthapuramu,-
GOLLAPALLI RESERVOIR,11/20/21,1.91,1725.72,1.43,0.48,11/20/21,500,40,Pennar,Sri Sathya Sai,-
ARANIAR RESERVOIR,11/20/21,1.85,277.03,1.33,0.52,11/20/21,2600,2400,Other,Tirupati,-
GANDIPALEM RESERVOIR PROJECT,11/20/21,1.88,479.79,1.27,0.61,11/20/21,1111,0,Other,Sri Potti Sriramulu Nellore,-
SARVEPALLI RESERVOIR,11/20/21,1.74,24.11,1.05,0.69,11/20/21,2000,2000,Other,Sri Potti Sriramulu Nellore,-
JEEDIPALLI RESERVOIR,11/20/21,1.68,1522.96,1.68,0,11/20/21,1450,750,Pennar,Ananthapuramu,-
RAMA THIRTHAM,11/20/21,1.57,265.58,0.9,0.67,11/20/21,339,220,Other,Prakasam,-
VENGALRAYA SAGARAM,11/19/21,1.68,525.26,1.24,0.44,11/19/21,300,0,Other,Parvathipuram Manyam,-
ADAVIPALLI RESERVOIR,-,1.42,-,-,1.42,-,-,-,Pennar,Annamayya,-
BADVEL TANK,-,1.36,-,-,1.36,-,-,-,Pennar,Y.S.R Kadapa,-
MEHADRIGADD RESERVOIR,-,1.17,59.71,0.92,0.25,-,-,-,Other,Visakhapatnam,-
RALLAPADU RESERVOIR,-,1.11,134.97,1.1,0.01,-,-,-,Other,Prakasam,-
PEDDAGEDDA RESERVOIR,11/19/21,1.07,700.89,0.93,0.14,11/19/21,210,500,Other,Parvathipuram Manyam,-
SWARNAMUKHI BARRAGE CUM BRIDGE,-,0.04,-,-,0.04,-,-,-,Other,Tirupati,-
ANDRA RESERVOIR,11/20/21,0.98,467.81,0.48,0.5,11/20/21,100,40,Other,Vizianagaram,-
VATTIGEDDA RESERVOIR,11/20/21,0.96,395.37,0.8,0.16,11/20/21,116,25,Other,Parvathipuram Manyam,-
KALYANI DAM,-,0.91,895.24,0.78,0.13,-,-,-,Other,Tirupati,-
YOGI VEMANA (MADDILERU) RESERVOIR,11/20/21,0.9,1248.1,0.59,0.31,11/20/21,13978,11200,Pennar,Sri Sathya Sai,-
KONAM RESERVOIR,11/20/21,0.85,328.87,0.74,0.11,11/20/21,65,65,Other,Anakapalli,-
GOTTA BARRAGE,11/20/21,0.66,123.26,0.48,0.18,11/20/21,4088,4088,Other,Srikakulam,-
PEDDERU RESERVOIR PROJECT,11/20/21,0.56,1554.92,0.22,0.34,11/20/21,234,140,Pennar,Annamayya,-
PAMPA RESERVOIR,-,0.42,100.36,0.33,0.09,-,-,-,Other,Kakinada,-
VARAHA RESERVOIR,11/20/21,0.47,455.81,0.39,0.08,11/20/21,30,50,Other,Anakapalli,-
BAHUDA RESERVOIR,-,0.4,-,-,0.4,-,-,-,Pennar,Annamayya,-
PEDDERU RESERVOIR,11/18/21,0.36,448.46,0.34,0.02,11/18/21,265,140,Other,Anakapalli,-
NTR RESERVOIR,-,0.2,348.43,0.08,0.12,-,-,-,Other,Anakapalli,-
KRISHNAPURAM PROJECT,11/20/21,0.2,667.98,0.03,0.17,11/20/21,2015.97,236.65,Other,Chittoor,-
MALLIMADUGU,11/20/21,0.18,366,0.18,0,11/20/21,5575,6210,Other,Tirupati,-
CHENNARAYA SWAMI GUDI PROJECT,-,0.17,1915.62,0,0.17,-,-,-,Pennar,Sri Sathya Sai,-
KALINGADAL PROJECT,-,0.15,250.98,0.06,0.09,-,-,-,Other,Srikakulam,-
NTR Jalasayam,-,0.11,963.68,0.08,0.03,-,-,-,Other,Chittoor,-
DAMODARAM SAGARAM,-,0.06,166.83,0.06,0,-,-,-,Other,Srikakulam,-
GAJJILIGEDDA RESERVOIR,-,0.05,-,-,0.05,-,-,-,Other,Srikakulam,-
NARAYANAPURAM ANICUT,11/20/21,0,94.72,0,0,11/20/21,1800,1800,Other,Srikakulam,-
KRISHNAGIRI RESERVOIR,-,0.16,-,-,0.16,-,-,-,Krishna,Kurnool,-
VEERA RAGHAVANI KOTA ANICUT,-,0.6,-,-,0.6,-,-,-,Other,Prakasam,-
ADINIMMAYAPALLI ANICUT,-,0,-,-,0,-,-,-,Pennar,Y.S.R Kadapa,-
PALERU BITRAGUNTA ANICUT,-,0.37,-,-,0.37,-,-,-,Other,Srikakulam,-
PENNAR KUMUDWATHI PROJECT (ANICUT),-,0,-,-,0,-,-,-,Pennar,Sri Sathya Sai,-
Somasila Reservoir,11/20/21,78,326.16,69.47,8.53,11/20/21,392000,332250,Pennar,Sri Potti Sriramulu Nellore,-
KANDALERU RESERVOIR,11/20/21,68.03,271.52,57.4,10.63,11/20/21,4200,405,Pennar,Sri Potti Sriramulu Nellore,-
GANDIKOTA RESERVOIR,11/20/21,26.85,693.57,24.08,2.77,11/20/21,70000,70000,Pennar,Y.S.R Kadapa,-
VELOGODU BALANCING RESERVOIR,11/20/21,16.95,860.76,13.16,3.79,11/20/21,0,1200,Pennar,Nandyal,-
PENNA AHOBILAM BALANCING RESERVOIR,11/20/21,5.5,1428.05,5.08,0.42,11/20/21,335,200,Pennar,Ananthapuramu,-
CHITRAVATI BALANCING RESERVOIR,11/19/21,10.23,977.23,10,0.23,11/19/21,0,0,Pennar,Y.S.R Kadapa,-
MYLAVARAM(PENNAR) RESERVOIR,-,6.5,624.77,0.97,5.53,-,-,-,Pennar,Y.S.R Kadapa,-
PAIDIPALEM BALANCING RESERVOIR,-,6,-,-,6,-,-,-,Pennar,Y.S.R Kadapa,-
MID PENNAR RESERVOIR,11/20/21,5.17,1194.26,4.25,0.92,11/20/21,174,210,Pennar,Ananthapuramu,-
VELIGALLU RESERVOIR,-,4.64,-,-,4.64,-,-,-,Pennar,Annamayya,-
KANIGIRI RESERVOIR,11/20/21,3.45,94.72,1.9,1.55,11/20/21,250,760,Pennar,Sri Potti Sriramulu Nellore,-
SARVARAJA SAGAR,-,1.06,-,-,1.06,-,-,-,Pennar,Y.S.R Kadapa,-
ALAGANURU BALANCING RESERVOIR,11/20/21,2.97,0,0,2.97,11/20/21,0,0,Pennar,Nandyal,-
ANNAMAYYA (CHEYYERU) RESERVOIR,-,2.24,-,-,2.24,-,-,-,Pennar,Y.S.R Kadapa,-
UPPER PENNAR,11/21/21,1.81,1749.8,0.83,0.98,11/21/21,1796,0,Pennar,Sri Sathya Sai,-
CHAGALLU BALANCING RESERVOIR,11/20/21,0.95,868.8,0.95,0,11/20/21,2500,2500,Pennar,Ananthapuramu,-
Cherlopalli Reservoir,11/20/21,1.61,1965.22,1.51,0.1,11/20/21,200,50,Pennar,Sri Sathya Sai,-
VAMIKONDA SAGAR RESERVOIR,-,1.6,-,-,1.6,-,-,-,Pennar,Y.S.R Kadapa,-
PATHIKONDA RESERVOIR,-,1.13,-,-,1.13,-,-,-,Krishna,Kurnool,-
SRINIVASAPURAM RESERVOIR (HNSS),-,1.02,-,-,1.02,-,-,-,Pennar,Annamayya,-
NELLORE TANK,-,0.84,-,-,0.84,-,-,-,Pennar,Sri Potti Sriramulu Nellore,-
BUGGAVANKA RESERVOIR,-,0.51,592.95,0.25,0.26,-,-,-,Pennar,Y.S.R Kadapa,-
Marala Reservoir,11/20/21,0.48,1438.81,0.19,0.29,11/20/21,150,0,Pennar,Sri Sathya Sai,-
SANGAM ANICUT / BARRGE,11/21/21,0.45,112.11,0.25,0.2,11/21/21,336762,336762,Other,Sri Potti Sriramulu Nellore,-
PINCHA PROJECT,11/20/21,0.33,994.85,0.23,0.1,11/20/21,31000,31000,Pennar,Annamayya,-
YELLANUR SR2,-,0.31,-,-,0.31,-,-,-,Pennar,Ananthapuramu,-
THIMMAPURAM SR1,-,0.3,-,-,0.3,-,-,-,Pennar,Y.S.R Kadapa,-
GODDAMVARIPALLI SR3,-,0.3,-,-,0.3,-,-,-,Pennar,Ananthapuramu,-
NELLORE ANICUT,-,0.38,-,-,0.38,-,-,-,Pennar,Sri Potti Sriramulu Nellore,-
KALANGI RESERVOIR,11/20/21,0.24,215.8,0.11,0.13,11/20/21,3150,3600,Other,Tirupati,-
LOWER SAGILERU ANI CUT,-,0.17,507.74,0.02,0.15,-,-,-,Pennar,Y.S.R Kadapa,-
UPPER SAGILERU,-,-,-,-,-,-,-,-,Pennar,Y.S.R Kadapa,-
Donkarayi Reservoir,-,16.51,-,-,16.51,-,-,-,GODAVARI,Alluri Sitharama Raju,-
HIRAMANDALAM RESERVOIR,-,10,-,-,10,-,-,-,Other,Srikakulam,-
PENDEKALLU RESERVOIR,-,0.65,-,-,0.65,-,-,-,Pennar,Ananthapuramu,-
Sileru (Guntawada) Reservoir,-,4.3,-,-,4.3,-,-,-,GODAVARI,Alluri Sitharama Raju,-
TUNGABADRA DAM,11/20/21,105.79,1633,100.86,4.93,11/20/21,45648,45648,Krishna,Vijayanagara(KS),-
COASTAL ANDHRA REGION,-,628.16,-,538.39,89.77,-,-,-,-,-,-
RAYALASEEMA REGION,-,371.9,-,184.73,187.18,-,-,-,-,-,-
TOTAL,-,1105.85,-,823.97,281.88,-,-,-,-,-,-
