Soil moisture summary

DISTRICT,Available Soil Moisture(T.M.C) till 5 cms depth,Available Soil Moisture(%) till 5 cms depth,Available Soil Moisture(T.M.C) till 30 cms depth,Available Soil Moisture(%) till 30 cms depth,Available Soil Moisture(T.M.C) till 100 cms depth,Available Soil Moisture(%) till 100 cms depth,Available Soil Moisture(T.M.C) till 150 cms depth,Available Soil Moisture(%) till 150 cms depth
Srikakulam,0.77,96.2,6.14,99.37,21.18,99.78,31.92,99.83
Vizianagaram,0.61,93.33,5.2,98.29,18.09,99.23,27.31,99.42
Parvathipuram Manyam,0.58,85.33,4.49,96.32,15.29,97.73,22.97,97.84
Alluri Sitharama Raju,1.65,74.54,13.56,79.55,51.25,88.99,79.41,91.92
Visakhapatnam,0.17,97.56,1.3,98.23,4.44,97.99,6.68,97.89
Anakapalli,0.65,88.85,4.56,96.56,15.59,98.5,23.48,98.9
Kakinada,0.58,94.56,4.06,97.19,13.88,98.35,20.92,98.63
Konaseema,0.38,99.65,3.05,99.94,10.54,99.98,15.89,99.99
East Godavari,0.35,81.59,3.51,96.48,12.36,98.27,18.69,98.53
West Godavari,0.33,94.36,2.82,95.78,9.95,97.97,15.07,98.66
Eluru,0.81,69.4,7.3,84.18,26.67,90.98,40.85,92.82
Krishna,0.6,93.8,5.06,96.38,17.82,98.25,27.01,98.77
NTR,0.37,70.96,2.04,48.7,10.42,72.92,17.47,81.17
Guntur,0.29,75,2.63,80.3,10.1,89.55,15.7,92.31
Bapatla,0.62,98.87,5.38,97.78,18.63,97.28,28.06,97.14
Palnadu,1.24,88.73,7.41,74.39,27.12,81.77,41.91,84.5
Prakasam,2.52,95.55,17.92,90.25,55.99,85.99,81.74,84.55
Sri Potti Sriramulu Nellore,1.79,100,14.62,99.89,50.31,99.6,75.73,99.51
Kurnool,1.23,98.45,6.47,59.02,25.85,66.98,41.03,70.24
Nandyal,1.66,94.14,8.21,62.01,31.45,69.93,49.45,73.22
Ananthapuramu,1.26,71.77,8.17,67.06,32.55,80.07,51.39,84.4
Sri Sathya Sai,1.55,94.4,10.73,94.38,36.41,96.05,54.76,96.6
Y.S.R Kadapa,1.81,99.9,13.04,98.18,43.35,96.2,64.66,95.6
Annamayya,1.83,100,12.03,99.94,39.11,99.92,58.05,99.92
Chittoor,1.3,100,9.55,99.96,31.93,99.87,47.72,99.84
Tirupati,1.6,100,11.6,99.96,39.21,99.96,58.84,99.96
Total,26.55,90.88,190.85,87.16,669.48,90.59,1016.68,91.76
