Reservoir Summary

Reservoir,Reservoir Level Information & Capacity Details,,,,,Instant Inflow & Outflow,,,Basin,District,Alert
,Date and Time,Gross Capacity at FRL (T.M.C.),Current Level (feet),Current Storage (T.M.C.),Flood Cushion (T.M.C.),Date and Time,Inflow (Cusecs),Outflow (Cusecs),,,
PEDDAGEDDA RESERVOIR,4/16/26,1.07,691.04,0.62,0.45,4/16/26,5,15,Other,Parvathipuram Manyam,-
SWARNAMUKHI BARRAGE CUM BRIDGE,4/16/26,0.04,29.53,0.04,0,4/16/26,0,0,Other,Tirupati,-
ANDRA RESERVOIR,4/16/26,0.98,469.16,0.58,0.4,4/16/26,55,55,Other,Vizianagaram,-
VATTIGEDDA RESERVOIR,4/16/26,0.96,375,0.22,0.74,4/16/26,0,30,Other,Parvathipuram Manyam,-
KALYANI DAM,4/15/26,0.91,880.5,0.48,0.43,4/15/26,0,10,Other,Tirupati,-
YOGI VEMANA (MADDILERU) RESERVOIR,4/16/26,0.9,1245.5,0.46,0.44,4/16/26,0,70,Pennar,Sri Sathya Sai,-
KONAM RESERVOIR,4/15/26,0.85,286.01,0.02,0.83,4/15/26,0,0,Other,Anakapalli,-
GOTTA BARRAGE,4/16/26,0.66,110.17,0.04,0.62,4/16/26,159,159,Other,Srikakulam,-
PEDDERU RESERVOIR PROJECT,4/16/26,0.56,1575.49,0.49,0.07,4/16/26,0,8,Pennar,Annamayya,-
PAMPA RESERVOIR,4/16/26,0.42,85,0.03,0.39,4/16/26,30,45,Other,Kakinada,-
VARAHA RESERVOIR,4/15/26,0.47,453.2,0.15,0.32,4/15/26,0,0,Other,Anakapalli,-
BAHUDA RESERVOIR,4/16/26,0.4,2007.7,0.26,0.14,4/16/26,0,25,Pennar,Annamayya,-
PEDDERU RESERVOIR,4/16/26,0.36,438.98,0.23,0.13,4/16/26,0,0,Other,Anakapalli,-
NTR RESERVOIR,4/14/26,0.2,0,0,0.2,4/14/26,0,0,Other,Anakapalli,-
KRISHNAPURAM PROJECT,4/16/26,0.2,685.86,0.08,0.12,4/16/26,0,0,Other,Chittoor,-
MALLIMADUGU,4/16/26,0.18,347.7,0.01,0.17,4/16/26,0,3,Other,Tirupati,-
CHENNARAYA SWAMI GUDI PROJECT,4/8/26,0.17,0,0,0.17,4/8/26,0,0,Pennar,Sri Sathya Sai,-
KALINGADAL PROJECT,4/16/26,0.15,225.55,0.02,0.13,4/16/26,0,0,Other,Srikakulam,-
