Soil moisture summary

DISTRICT,Available Soil Moisture(T.M.C) till 5 cms depth,Available Soil Moisture(%) till 5 cms depth,Available Soil Moisture(T.M.C) till 30 cms depth,Available Soil Moisture(%) till 30 cms depth,Available Soil Moisture(T.M.C) till 100 cms depth,Available Soil Moisture(%) till 100 cms depth,Available Soil Moisture(T.M.C) till 150 cms depth,Available Soil Moisture(%) till 150 cms depth
Srikakulam,0.78,98.28,6.16,99.72,21.2,99.88,31.94,99.9
Vizianagaram,0.63,97.53,5.23,99.06,18.12,99.48,27.34,99.57
Parvathipuram Manyam,0.62,91.42,4.53,97.7,15.34,98.22,23.02,98.17
Alluri Sitharama Raju,1.68,75.95,13.69,80.35,51.46,89.37,79.61,92.17
Visakhapatnam,0.17,99.88,1.3,98.84,4.44,98.08,6.67,97.85
Anakapalli,0.69,93.59,4.6,97.64,15.63,98.86,23.53,99.14
Kakinada,0.59,97.23,4.08,97.91,13.91,98.62,20.95,98.81
Konaseema,0.38,100,3.05,100,10.54,100,15.89,100
East Godavari,0.37,87.78,3.54,97.41,12.4,98.57,18.72,98.72
West Godavari,0.34,97.21,2.84,96.45,9.97,98.25,15.1,98.84
Eluru,0.87,74.64,7.41,85.34,26.83,91.52,41.02,93.22
Krishna,0.63,98.11,5.12,97.47,17.89,98.66,27.07,99.05
NTR,0.4,75.1,2.1,50.18,10.51,73.58,17.56,81.63
Guntur,0.31,80.51,2.66,81.35,10.14,89.92,15.74,92.56
Bapatla,0.63,99.14,5.38,97.69,18.61,97.18,28.03,97.04
Palnadu,1.29,92.65,7.45,74.91,27.15,81.88,41.92,84.56
Prakasam,2.62,99.48,17.75,89.53,55.48,85.21,81.11,83.88
Sri Potti Sriramulu Nellore,1.75,97.73,14.56,99.23,50.21,99.29,75.6,99.27
Kurnool,1.24,98.65,6.18,56.48,25.33,65.65,40.52,69.37
Nandyal,1.61,90.57,7.89,59.44,30.92,68.65,48.93,72.37
Ananthapuramu,1.37,78.73,8.15,67.08,32.41,79.79,51.25,84.2
Sri Sathya Sai,1.55,94.18,10.69,94.03,36.32,95.81,54.64,96.41
Y.S.R Kadapa,1.53,83.61,12.54,93.54,42.6,94.15,63.86,94.14
Annamayya,1.66,88.76,11.79,97.27,38.81,98.89,57.73,99.2
Chittoor,1.29,98.64,9.52,99.68,31.89,99.72,47.66,99.7
Tirupati,1.48,91.67,11.43,98.09,39.01,99.26,58.63,99.49
Total,26.5,90.57,189.65,86.54,667.1,90.23,1014.03,91.49
